date,value,series_id,source
2025-09-09,112025.12878118771,BITCOIN,CRYPTO
2025-09-10,111547.43956434788,BITCOIN,CRYPTO
2025-09-11,113975.32489468766,BITCOIN,CRYPTO
2025-09-12,115503.16663193036,BITCOIN,CRYPTO
2025-09-13,116160.14344594491,BITCOIN,CRYPTO
2025-09-14,115970.58488443034,BITCOIN,CRYPTO
2025-09-15,115373.55555886829,BITCOIN,CRYPTO
2025-09-15,116158.50297019162,BITCOIN,CRYPTO
2025-09-09,4309.685702772004,ETHEREUM,CRYPTO
2025-09-10,4309.342746120013,ETHEREUM,CRYPTO
2025-09-11,4347.476803670656,ETHEREUM,CRYPTO
2025-09-12,4459.31901599882,ETHEREUM,CRYPTO
2025-09-13,4708.841744149995,ETHEREUM,CRYPTO
2025-09-14,4667.699652630318,ETHEREUM,CRYPTO
2025-09-15,4609.786110950785,ETHEREUM,CRYPTO
2025-09-15,4630.333519001275,ETHEREUM,CRYPTO
2025-09-09,878.2339242329539,BINANCECOIN,CRYPTO
2025-09-10,879.833817211316,BINANCECOIN,CRYPTO
2025-09-11,893.578793274879,BINANCECOIN,CRYPTO
2025-09-12,902.876846974473,BINANCECOIN,CRYPTO
2025-09-13,925.1660418381477,BINANCECOIN,CRYPTO
2025-09-14,933.8971704994946,BINANCECOIN,CRYPTO
2025-09-15,926.8412817390542,BINANCECOIN,CRYPTO
2025-09-15,927.9429793667924,BINANCECOIN,CRYPTO
2025-09-09,0.8646800277854038,CARDANO,CRYPTO
2025-09-10,0.8649298409057776,CARDANO,CRYPTO
2025-09-11,0.8853218749788114,CARDANO,CRYPTO
2025-09-12,0.8939522635864209,CARDANO,CRYPTO
2025-09-13,0.9169478146623894,CARDANO,CRYPTO
2025-09-14,0.9299550781941931,CARDANO,CRYPTO
2025-09-15,0.8884370883146469,CARDANO,CRYPTO
2025-09-15,0.8892611524531352,CARDANO,CRYPTO
2025-09-09,214.08956690665315,SOLANA,CRYPTO
2025-09-10,217.38518604767611,SOLANA,CRYPTO
2025-09-11,223.9996568751895,SOLANA,CRYPTO
2025-09-12,228.6994803098487,SOLANA,CRYPTO
2025-09-13,242.25824628845254,SOLANA,CRYPTO
2025-09-14,242.6675990847208,SOLANA,CRYPTO
2025-09-15,240.51910214123612,SOLANA,CRYPTO
2025-09-15,240.18577833853197,SOLANA,CRYPTO
2025-09-08,6.6,POLKADOT,CRYPTO
2025-09-09,7.22,POLKADOT,CRYPTO
2025-09-10,7.22,POLKADOT,CRYPTO
2025-09-11,6.54,POLKADOT,CRYPTO
2025-09-12,7.09,POLKADOT,CRYPTO
2025-09-13,6.48,POLKADOT,CRYPTO
2025-09-14,6.89,POLKADOT,CRYPTO
